Area,ID,Candidate,Round1,Round2,Round3,Round4,Round5,Round6,Round7,Round8,Round9,Round10,Round11,Round12,Win_R1,Win_Final
Conservative Party of Canada (Region),1,Chris ALEXANDER,379.09879,385.00858,391.04601,407.47350,416.99670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0
Conservative Party of Canada (Region),1,Maxime BERNIER,"9,763.32102","9,823.57233","9,854.60866","9,922.23100","10,114.67199","10,208.33370","10,313.14536","10,557.47918","10,709.57916","11,570.59120","12,360.07535","13,647.14485","16,577.79739",1,0
Conservative Party of Canada (Region),1,Steven BLANEY,426.36783,429.13353,432.99928,440.71174,448.37036,469.25042,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0
Conservative Party of Canada (Region),1,Michael CHONG,"2,552.47179","2,572.67982","2,583.56272","2,605.62529","2,618.62509","2,666.15260","2,692.82554","2,907.59859","2,939.29019","3,090.04130",0.00000,0.00000,0.00000,0,0
Conservative Party of Canada (Region),1,Kellie LEITCH,"2,366.08547","2,375.00364","2,383.02815","2,398.06763","2,430.24545","2,454.83502","2,516.66952","2,615.63053","2,688.02939",0.00000,0.00000,0.00000,0.00000,0,0
Conservative Party of Canada (Region),1,Pierre LEMIEUX,"2,495.70594","2,498.29411","2,503.91829","2,510.33116","2,518.28622","2,538.17322","2,561.76941","2,593.17834",0.00000,0.00000,0.00000,0.00000,0.00000,0,0
Conservative Party of Canada (Region),1,Deepak OBHRAI,139.89800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0
Conservative Party of Canada (Region),1,Kevin O'LEARY,361.20648,364.73740,367.33483,368.56314,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0
Conservative Party of Canada (Region),1,Erin O'TOOLE,"3,600.72143","3,609.14707","3,634.90289","3,669.06631","3,708.41035","3,769.08588","3,824.61793","4,181.25556","4,324.00521","4,947.86288","6,372.85088","7,187.38431",0.00000,0,0
Conservative Party of Canada (Region),1,Rick PETERSON,220.57885,223.08826,226.96131,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0
Conservative Party of Canada (Region),1,Lisa RAITT,"1,127.93217","1,137.56425","1,164.84918","1,188.15286","1,208.96931","1,244.56187","1,264.09991",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0
Conservative Party of Canada (Region),1,Andrew SAXTON,169.93572,171.49881,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0
Conservative Party of Canada (Region),1,Andrew SCHEER,"7,375.78887","7,383.68882","7,427.00030","7,455.33508","7,492.05740","7,597.28323","7,764.64309","8,061.08457","8,798.38208","9,557.67045","10,235.27008","12,965.46616","17,222.19945",0,1
Conservative Party of Canada (Region),1,Brad TROST,"2,820.86891","2,826.56559","2,829.77149","2,834.42625","2,843.35240","2,852.31034","2,862.21677","2,883.76203","4,340.70454","4,633.82631","4,831.79722",0.00000,0.00000,0,0
Conservative Party of Canada (Region),1,Undervotes,0,57,97,178,363,540,620,"1,022","1,381","3,608","7,462","15,754","23,038",0,0
Conservative Party of Canada (Region),1,Remainder,0.01873,0.01779,0.01689,0.01604,0.01473,0.01372,0.01247,0.01120,0.00943,0.00786,0.00647,0.00468,0.00316,0,0
Alberta (Region),2,Chris ALEXANDER,19.10296,22.50785,22.71426,23.66993,24.71084,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0
Alberta (Region),2,Maxime BERNIER,"1,208.49540","1,225.48952","1,226.83613","1,233.96498","1,264.79535","1,271.29306","1,275.51963","1,292.08660","1,305.27173","1,385.25428","1,442.99914","1,565.95481","1,804.26286",0,1
