Area,ID,NumVotes,WinRound1,WinLastRound
Conservative Party of Canada (Region),1,141694,Maxime BERNIER,Andrew SCHEER
Alberta (Region),2,28842,Andrew SAXTON,Maxime BERNIER
British Columbia (Region),3,19318,Andrew SCHEER,Andrew SCHEER
Manitoba (Region),4,4947,Brad TROST,Maxime BERNIER
New Brunswick (Region),5,2130,Lisa RAITT,Andrew SCHEER
Newfoundland and Labrador (Region),6,625,Kellie LEITCH,Maxime BERNIER
Nova Scotia (Region),7,2880,Michael CHONG,Andrew SCHEER
Ontario (Region),8,64784,Kellie LEITCH,Andrew SCHEER
Prince Edward Island (Region),9,627,Andrew SAXTON,Andrew SCHEER
Quebec (Region),10,9669,Chris ALEXANDER,Maxime BERNIER
Saskatchewan (Region),11,7404,Erin O'TOOLE,Maxime BERNIER
Yukon (Region),12,319,Michael CHONG,Andrew SCHEER
Northwest Territories (Region),13,133,Kellie LEITCH,Maxime BERNIER
Nunavut (Region),14,16,Kellie LEITCH,Maxime BERNIER
Avalon,15,94,Michael CHONG,Maxime BERNIER
Bonavista-Burin-Trinity,16,45,Andrew SCHEER,Maxime BERNIER
Coast of Bays-Central-Notre Dame,17,69,Erin O'TOOLE,Maxime BERNIER
Labrador,18,24,Kellie LEITCH,Andrew SCHEER
Long Range Mountains,19,55,Michael CHONG,Maxime BERNIER
St. John's East,20,208,Erin O'TOOLE,Maxime BERNIER
St. John's South-Mount Pearl,21,130,Pierre LEMIEUX,Maxime BERNIER
Cardigan,22,163,Kellie LEITCH,Andrew SCHEER
Charlottetown,23,167,Michael CHONG,Andrew SCHEER
Egmont,24,116,Pierre LEMIEUX,Andrew SCHEER
Malpeque,25,181,Andrew SAXTON,Andrew SCHEER
Cape Breton-Canso,26,187,Pierre LEMIEUX,Andrew SCHEER
Central Nova,27,296,Kellie LEITCH,Andrew SCHEER
Cumberland-Colchester,28,296,Lisa RAITT,Andrew SCHEER
Dartmouth-Cole Harbour,29,272,Lisa RAITT,Andrew SCHEER
Halifax,30,334,Kellie LEITCH,Maxime BERNIER
Halifax West,31,311,Michael CHONG,Maxime BERNIER
Kings-Hants,32,239,Lisa RAITT,Andrew SCHEER
Sackville-Preston-Chezzetcook,33,254,Brad TROST,Andrew SCHEER
South Shore-St. Margarets,34,277,Lisa RAITT,Andrew SCHEER
Sydney-Victoria,35,172,Andrew SCHEER,Maxime BERNIER
West Nova,36,242,Kellie LEITCH,Andrew SCHEER
Acadie-Bathurst,37,41,Michael CHONG,Andrew SCHEER
Beausejour,38,130,Erin O'TOOLE,Maxime BERNIER
Fredericton,39,363,Lisa RAITT,Andrew SCHEER
Fundy Royal,40,309,Kellie LEITCH,Andrew SCHEER
Madawaska-Restigouche,41,69,Kellie LEITCH,Andrew SCHEER
Miramichi-Grand Lake,42,143,Michael CHONG,Andrew SCHEER
Moncton-Riverview-Dieppe,43,292,Kellie LEITCH,Andrew SCHEER
New Brunswick Southwest,44,243,Kellie LEITCH,Andrew SCHEER
Saint John-Rothesay,45,225,Brad TROST,Andrew SCHEER
Tobique-Mactaquac,46,315,Kellie LEITCH,Andrew SCHEER
Abitibi-Baie-James-Nunavik-Eeyou,47,27,Kellie LEITCH,Maxime BERNIER
Abitibi-Temiscamingue,48,79,Andrew SCHEER,Andrew SCHEER
Ahuntsic-Cartierville,49,81,Kellie LEITCH,Maxime BERNIER
Alfred-Pellan,50,44,Pierre LEMIEUX,Maxime BERNIER
Argenteuil-La Petite-Nation,51,102,Kellie LEITCH,Andrew SCHEER
Avignon-La Mitis-Matane-Matapedia,52,61,Andrew SCHEER,Andrew SCHEER
Beauce,53,1099,Maxime BERNIER,Andrew SCHEER
Beauport-Limoilou,54,99,Andrew SCHEER,Maxime BERNIER
Becancour-Nicolet-Saurel,55,110,Andrew SCHEER,Andrew SCHEER
Bellechasse-Les Etchemins-Levis,56,435,Andrew SCHEER,Andrew SCHEER
Beloeil-Chambly,57,64,Steven BLANEY,Andrew SCHEER
Berthier-Maskinonge,58,146,Andrew SCHEER,Andrew SCHEER
Therese-De Blainville,59,57,Chris ALEXANDER,Maxime BERNIER
